post_id,post_text,content,index,timeofposting,rideordrive,dateofride,weekdayofride,price,location,destination
,,"#drive11082025 DRIVE!! San Jose ➜ Oakland 4PM $25
comment below",426,,0,2025-11-08,Saturday,25,#drive11082025 DRIVE!! San Jose,Oakland
,,#ride11082024 #ride11112024 Need a ride from Fremont to Oakland. Budget $25,427,,1,2024-11-08,Friday,0,Fremont,Oakland
,,#ride03152025 Need a ride Palo Alto -> Oakland. Budget $10 pls,428,,1,2025-03-15,Saturday,0,#ride03152025 Need a ride Palo Alto,Oakland
,,#ride02062025 Need a ride Fremont ➜ Oakland. Budget $20 !!,429,,1,2025-02-06,Thursday,0,#ride02062025 Need a ride Fremont,Oakland
,,#drive02252024 DRIVE!! San Jose-Sacramento 10PM $12,430,,0,2024-02-25,Sunday,12,#drive02252024 DRIVE!! San Jose,Sacramento
,,#ride06282025 Need a ride from Oakland to Palo Alto. Budget $25 🚗,431,,1,2025-06-28,Saturday,0,Oakland,Palo
,,#drive04202025 Palo Alto ➜ Sunnyvale | 9PM | $12 | 1 seat,432,,0,2025-04-20,Sunday,12,#drive04202025 Palo Alto,Sunnyvale
,,#drive10122024 Palo Alto ➜ Berkeley | 7:15 PM | $15 | 1 seat,433,,0,2024-10-12,Saturday,15,#drive10122024 Palo Alto,Berkeley
,,Need a drive Oakland ➜ Davis. Budget $35,434,,,,,0,Need a drive Oakland,Davis
,,#ride07252024 Need a ride Berkeley to Davis. Budget $25,435,,1,2024-07-25,Thursday,0,#ride07252024 Need a ride Berkeley,Davis
,,Davis-Sac  |  6:50  AM  |  $22  |  1  seat  🚗,436,,,,,0,Davis,Sacramento
,,#ride05312025 Sacramento-San Jose | 9AM | $25 | 1 seat pls,437,,1,2025-05-31,Saturday,0,#ride05312025 Sacramento,San Jose
,,#drive12282024 Need a drive San Francisco -> Sunnyvale. Budget,438,,0,2024-12-28,Saturday,0,#drive12282024 Need a drive San Francisco,Sunnyvale
,,#drive11242024 Sacramento to San Francisco | 2PM | $20-25 | 1 seat,439,,0,2024-11-24,Sunday,22,#drive11242024 Sacramento,San Francisco
,,#ride12272025 Oakland ➜ Dvais  leaving 11AM,440,,1,2025-12-27,Saturday,0,#ride12272025 Oakland,Dvais
,,#ride03032025 RIDE!! Palo Alto ➜ Berkeley 12PM $12,441,,1,2025-03-03,Monday,0,#ride03032025 RIDE!! Palo Alto,Berkeley
,,#drive02182024 DRIVE!! San Francisco -> San Jose 10:40 AM $40-48 🚗,442,,0,2024-02-18,Sunday,44,#drive02182024 DRIVE!! San Francisco,San Jose
,,#drive06092024 Need a drive SF -> Davis. Budget flexible time,443,,0,2024-06-09,Sunday,0,#drive06092024 Need a drive SF,Davis
,,#ride11302025 RIDE!! Fremont to Berkeley 8:45 PM $22,444,,1,2025-11-30,Sunday,0,#ride11302025 RIDE!! Fremont,Berkeley
,,#drive11122025 from Oakland to San Jose 15 dollars leaving 8PM,445,,0,2025-11-12,Wednesday,15,Oakland,San Jose
,,#drive04242024 Davis ➜ San Francisco | 9PM | 30 dollars | 1 seat,446,,0,2024-04-24,Wednesday,30,#drive04242024 Davis,San Francisco
,,#ride09042024  RIDE!!  from  Sacramento  to  Davis  8PM  $10,447,,1,2024-09-04,Wednesday,0,Sacramento,Davis
,,#drive08042025 DRIVE!! San Jose -> San Francisco 6AM $35 pls,448,,0,2025-08-04,Monday,35,#drive08042025 DRIVE!! San Jose,San Jose
,,#ride01122024 RIDE!! Fremont ➜ San Jose 5:40 PM $15,449,,1,2024-01-12,Friday,0,#ride01122024 RIDE!! Fremont,San Jose
,,#ride01022025  #ride01092025 Oakland-San Francisco $35 leaving 8AM,450,,1,2025-01-02,Thursday,0,#ride01022025 #ride01092025 Oakland,San Francisco
,,#drive04032025 Need a drive SF-Oakland. Budget $22 🚗,451,,0,2025-04-03,Thursday,22,#drive04032025 Need a drive SF,Oakland
,,#drive06162024 #drive06232024 San Jose-Oakland | 8:00 PM | $12 | 1 seat,452,,0,2024-06-16,Sunday,12,#drive06162024 #drive06232024 San Jose,Oakland
,,#drive10112024 from Fremont to Sunnyvale $18 leaving 10AM,453,,0,2024-10-11,Friday,18,Fremont,Sunnyvale
,,#drive10152025  DRIVE!!  Berkeley  ->  Fremont  6AM  $25,454,,0,2025-10-15,Wednesday,25,#drive10152025 DRIVE!! Berkeley,Fremont
,,"#drive08112025 DRIVE!! Sacramento ➜ Berkeley 5:10 PM $12
pm me",455,,0,2025-08-11,Monday,12,#drive08112025 DRIVE!! Sacramento,Berkeley
,,#ride01142025 RIDE!! Berkeley to Fremont 7:30 AM,456,,1,2025-01-14,Tuesday,0,#ride01142025 RIDE!! Berkeley,Fremont
,,#ride11152024 from Palo Alto to San Francisco | 1PM | $18-28 | 1 seat,457,,1,2024-11-15,Friday,0,Palo Alto,San Francisco
,,#drive01172025  Need  a  drive  from  San  Francisco  to  Sacramento.  Budget  $35,458,,0,2025-01-17,Friday,35,San Francisco,Sacramento
,,#drive01052024 #drive01072024 Palo Alto -> San Jose $12 leaving 9:20 PM pls,459,,0,2024-01-05,Friday,12,#drive01052024 #drive01072024 Palo Alto,San Jose
,,"#drive10302024 Berkeley-Davis | 8PM | 40 dollars | 1 seat
flexible time",460,,0,2024-10-30,Wednesday,40,#drive10302024 Berkeley,Davis
,,#ride04028025 Oakland ➜ Davis $12 leaving 9:40 PM,461,,1,8025-04-02,Wednesday,0,#ride04028025 Oakland,Davis
,,#drive07062024 Okaland-Sunnyvale $12 leaving 1:10 PM,462,,0,2024-07-06,Saturday,12,#drive07062024 Okaland,Sunnyvale
,,#drive11082024 San Jose-Sacramento $30 leaving 10:50 PM 🚗,463,,0,2024-11-08,Friday,30,#drive11082024 San Jose,Sacramento
,,#drive03022024 Fremont to Sunnyvale | 10:50 PM | $40 | 1 seat,464,,0,2024-03-02,Saturday,40,#drive03022024 Fremont,Sunnyvale
,,#drive04202024 Sacramento ➜ Palo Alto | 2:10 PM | $12-22 | 1 seat anyone?,465,,0,2024-04-20,Saturday,17,#drive04202024 Sacramento,Palo
,,#drive10072024  Need  a  drive  Fremont  ->  Berkeley.  Budget  $18  thx,466,,0,2024-10-07,Monday,18,#drive10072024 Need a drive Fremont,Berkeley
,,#drive07052025 SF ➜ San Jose | 7:15 PM | $20-28 | 1 seat,467,,0,2025-07-05,Saturday,24,#drive07052025 SF,San Jose
,,#ride05172024  RIDE!!  Oakland  ->  Sacramento  11:50  AM  $20-25,468,,1,2024-05-17,Friday,0,#ride05172024 RIDE!! Oakland,Sacramento
,,#ride07272024 RIDE!! San Jose to Fremont 9:30 AM $20,469,,1,2024-07-27,Saturday,0,#ride07272024 RIDE!! San Jose,Fremont
,,#drive09282024 Need a drive Davis-Berkeley. Budget,470,,0,2024-09-28,Saturday,0,#drive09282024 Need a drive Davis,Berkeley
,,#ride11102025 aPlo Alto -> Oakland | 1PM | $30 | 1 seat,471,,1,2025-11-10,Monday,0,#ride11102025 aPlo Alto,Oakland
,,#ride09162024 RIDE!! San Francisco -> Fremont 10:40 PM $18 😊,472,,1,2024-09-16,Monday,0,#ride09162024 RIDE!! San Francisco,Fremont
,,#ride07042025 #ride07072025 from Sacramento to Davis | 1PM | | 1 seat,473,,1,2025-07-04,Friday,0,Sacramento,Davis
,,#ride12022024 RIDE!! Davis ➜ Sacramento 10AM $22-32,474,,1,2024-12-02,Monday,0,#ride12022024 RIDE!! Davis,Sacramento
,,#ride06022025  Sunnyvale  to  San  Francisco  |  10AM  |  $18  |  1  seat,475,,1,2025-06-02,Monday,0,#ride06022025 Sunnyvale,San
,,#ride11272025 Need a ride San Jose ➜ San Francisco. Budget 35 dollars,476,,1,2025-11-27,Thursday,0,#ride11272025 Need a ride San Jose,San Jose
,,"#ride02222025 RIDE!! from Davis to Palo Alto 1:10 PM $40-48
flexible time",477,,1,2025-02-22,Saturday,0,Davis,Palo
,,#ride09282025  from  Sac  to  Fremon  t$40  leaving  3PM,478,,1,2025-09-28,Sunday,0,Sacramento,Fremon
,,Palo Alto to Berkeley $12 leavnig 8AM,479,,,,,0,Palo Alto,Berkeley
,,#ride12272024 Fremont-Oakland $12-17 leaving 7PM,480,,1,2024-12-27,Friday,0,#ride12272024 Fremont,Oakland
,,#ride08302025 RIDE!! SJ ➜ Sunnyvale 8AM $25-33,481,,1,2025-08-30,Saturday,0,#ride08302025 RIDE!! SJ,Sunnyvale
,,#ride01012025 RIDE!! Palo Alto to Sunnyvale 8AM,482,,1,2025-01-01,Wednesday,0,#ride01012025 RIDE!! Palo Alto,Sunnyvale
,,#drive06242025  from  Sacramento  to  Oakland  $40  leaving  2PM,483,,0,2025-06-24,Tuesday,40,Sacramento,Oakland
,,#drive11162025 DRIVE!! Palo Alto-San Francisco 3:00 PM $20,484,,0,2025-11-16,Sunday,20,#drive11162025 DRIVE!! Palo Alto,San Francisco
,,#drive10062025 San Francisco -> Oakland | 1:00 PM | $18 | 1 seat !!,485,,0,2025-10-06,Monday,18,#drive10062025 San Francisco,Oakland
,,#ride10122024  #ride10152024  RIDE!!  San  Francisco  to  Sacramento  8:40  AM,486,,1,2024-10-12,Saturday,0,#ride10122024 #ride10152024 RIDE!! San Francisco,Sacramento
,,#drive03302024 DRIVE!! Fremont-Palo Alto 10AM 20 dollars 🚗,487,,0,2024-03-30,Saturday,20,#drive03302024 DRIVE!! Fremont,Palo
,,from  Sunnyvale  to  Davis  $25  leaving  6PM,488,,,,,0,Sunnyvale,Davis
,,#drive12182025 Sunnyvale -> San Jose $40 leaving 3PM 🚗,489,,0,2025-12-18,Thursday,40,#drive12182025 Sunnyvale,San Jose
,,#ride08012024 RIDE!! Sacramento ➜ Davis 12PM $18 😊,490,,1,2024-08-01,Thursday,0,#ride08012024 RIDE!! Sacramento,Davis
,,#ride08242024 Need a ride Palo Alto to Oakland. Budget $12,491,,1,2024-08-24,Saturday,0,#ride08242024 Need a ride Palo Alto,Oakland
,,"#drive10172024 DRIVE!! San Jose-Berkeley 11:50 AM $12
pm me",492,,0,2024-10-17,Thursday,12,#drive10172024 DRIVE!! San Jose,Berkeley
,,#drive05302024 Sunnyvale -> Palo Alto | 9:40 AM | $12 | 1 seat,493,,0,2024-05-30,Thursday,12,#drive05302024 Sunnyvale,Palo
,,"#drive05272025 from San Jose to Berkeley $20 leaving 2:30 PM pls
comment below",494,,0,2025-05-27,Tuesday,20,San Jose,Berkeley
,,#ride02262025 #ride03012025 Davis ➜ Berkeley $18 leaving 6AM,495,,1,2025-02-26,Wednesday,0,#ride02262025 #ride03012025 Davis,Berkeley
,,#ride08042025 Need a ride Sunnyvale ➜ San Jose. Budget $12,496,,1,2025-08-04,Monday,0,#ride08042025 Need a ride Sunnyvale,San Jose
,,#drive08092024 from San Jose to Oakland  leaving 3PM,497,,0,2024-08-09,Friday,0,San Jose,Oakland
,,#drive01032024 Sunnyvale ➜ San Jose 18 dollars leaving 5PM,498,,0,2024-01-03,Wednesday,18,#drive01032024 Sunnyvale,San Jose
,,#ride11062025 San Francisco to Sunnyvale | 5:15 PM | $40 | 1 seat,499,,1,2025-11-06,Thursday,0,#ride11062025 San Francisco,Sunnyvale
,,#drive10152025 #drive10182025 Sunnyvale-Oakland | 5PM |  | 1 seat,500,,0,2025-10-15,Wednesday,0,#drive10152025 #drive10182025 Sunnyvale,Oakland
,,#ride06302024 RIDE!! Sunnyvale -> San Francisco 3:00 PM,501,,1,2024-06-30,Sunday,0,#ride06302024 RIDE!! Sunnyvale,San Francisco
,,#ride03072025 Need a ride Sunnyvale to Palo Alto. Budget $18,502,,1,2025-03-07,Friday,0,#ride03072025 Need a ride Sunnyvale,Palo
,,"#drive03042024 Berkeley-Oakland $30 leaving 7PM
anyone?",503,,0,2024-03-04,Monday,30,#drive03042024 Berkeley,Oakland
,,#drive10142025 DRIVE!! San Francisco ➜ Palo Alto 4:40 PM $35 pls,504,,0,2025-10-14,Tuesday,35,#drive10142025 DRIVE!! San Francisco,Palo
,,"#ride11282025 #ride12052025 Need a ride SJ -> Palo Alto. Budget $25 !!
pm me",505,,1,2025-11-28,Friday,0,#ride11282025 #ride12052025 Need a ride SJ,Palo
,,#drive12052025 #drive12072025 Davis-Palo Alto $20 leaving 8AM,506,,0,2025-12-05,Friday,20,#drive12052025 #drive12072025 Davis,Palo
,,#drive03192024 Need a drive Fremont -> Sacramento. Budget $10 comment below,507,,0,2024-03-19,Tuesday,10,#drive03192024 Need a drive Fremont,Sacramento
,,#drive10302025 Need a drive San Jose to Fremont. Budget $40,508,,0,2025-10-30,Thursday,40,#drive10302025 Need a drive San Jose,Fremont
,,#drive09182024 #drive09212024 Need a drive Oakland to Berkeley. Budget 🚗,509,,0,2024-09-18,Wednesday,0,#drive09182024 #drive09212024 Need a drive Oakland,Berkeley
,,#drive07012024 Need a drive Sacramento -> Berkeley. Budget $30,510,,0,2024-07-01,Monday,30,#drive07012024 Need a drive Sacramento,Berkeley
,,#ride05162024 Need a ride Fremont-Sacramento. Budget $40,511,,1,2024-05-16,Thursday,0,#ride05162024 Need a ride Fremont,Sacramento
,,#drive03182025 DRIVE!! Palo Alto ➜ Berkeley 9AM $30,512,,0,2025-03-18,Tuesday,30,#drive03182025 DRIVE!! Palo Alto,Berkeley
,,#ride11302025  Need  a  ride  Palo  Alto  ->  Fremont.  Budget  $10-18  pls,513,,1,2025-11-30,Sunday,0,#ride11302025 Need a ride Palo Alto,Fremont
,,#ride07262024 San Francisco-Oakland $25 leaving 12:50 PM,514,,1,2024-07-26,Friday,0,#ride07262024 San Francisco,Oakland
,,Need a ride SF ➜ Fremont. Budget $22,515,,,,,0,Need a ride SF,Fremont
,,#drive08172024 Need a drive Sunnyvale -> Palo Alto. Budget 10 dollars,516,,0,2024-08-17,Saturday,10,#drive08172024 Need a drive Sunnyvale,Palo
,,#drive04062025 DRIVE!! Berkeley to San Francisco 5:30 PM $40,517,,0,2025-04-06,Sunday,40,#drive04062025 DRIVE!! Berkeley,San Francisco
,,#ride06272025  #ride07042025 RIDE!! from San Jose to Sunnyvale 2:50 PM $20,518,,1,2025-06-27,Friday,0,San Jose,Sunnyvale
,,#drive07162024 #drive07172024 Fremont ➜ San Jose $18 leaving 6:20 AM thx,519,,0,2024-07-16,Tuesday,18,#drive07162024 #drive07172024 Fremont,San Jose
,,#ride09302024 Berkeley -> Sunnyvale $18 leaving 10PM,520,,1,2024-09-30,Monday,0,#ride09302024 Berkeley,Sunnyvale
,,"#ride08222024 Davis ➜ Fremont | 5:15 PM | $20 | 1 seat 🚗
flexible time",521,,1,2024-08-22,Thursday,0,#ride08222024 Davis,Fremont
,,#drive08212024 Fremont ➜ Sunnyvale $10 leaving 12:00 PM pls,522,,0,2024-08-21,Wednesday,10,#drive08212024 Fremont,Sunnyvale
,,#ride12142024  Palo  Alto  to  San  Francisco  15  dollars  leaving  12:50  PM,523,,1,2024-12-14,Saturday,0,#ride12142024 Palo Alto,San
,,#ride06032024 Need a ride Berkeley -> Palo Alto. Budget $15,524,,1,2024-06-03,Monday,0,#ride06032024 Need a ride Berkeley,Palo
,,#drive01142024 Palo Alto -> Sacramento $35 leaving 11AM,525,,0,2024-01-14,Sunday,35,#drive01142024 Palo Alto,Sacramento
,,#drive06102024 Need a drive Davis ➜ San Jose. Budget $20,526,,0,2024-06-10,Monday,20,#drive06102024 Need a drive Davis,San Jose
,,#drive04292024  San  Francisco  to  Fremont  $10-18  leaving  21:10  PM,527,,0,2024-04-29,Monday,14,#drive04292024 San Francisco,Fremont
,,#drive08062025 #drive08072025 Need a drive Palo Alto-Berkeley. Budget $22,528,,0,2025-08-06,Wednesday,22,#drive08062025 #drive08072025 Need a drive Palo Alto,Berkeley
,,#ride01052025 Berkeley to Oakland $15 leaving 2:40 PM,529,,1,2025-01-05,Sunday,0,#ride01052025 Berkeley,Oakland
,,"#drive06272024 DRIVE!! Palo Alto ➜ Berkeley 6:40 AM $18
anyone?",530,,0,2024-06-27,Thursday,18,#drive06272024 DRIVE!! Palo Alto,Berkeley
,,"#drive03312024 #drive04072024 San Francisco to Sacramento | 8:15 AM | $40 | 1 seat 🚗
flexible time",531,,0,2024-03-31,Sunday,40,#drive03312024 #drive04072024 San Francisco,Sacramento
,,#ride10012025 Oakland-Davis | 6:00 MA | $15 | 1 seat,532,,1,2025-10-01,Wednesday,0,#ride10012025 Oakland,Davis
,,#drive02152025 Palo Alto ➜ Oakland | 6:30 PM | $20 | 1 seat thx,533,,0,2025-02-15,Saturday,20,#drive02152025 Palo Alto,Oakland
,,"#drive01102024 SJ to San Francisco | 6AM | $22-30 | 1 seat
pm me",534,,0,2024-01-10,Wednesday,26,#drive01102024 SJ,San Francisco
,,#ride05032025 Fremont to Oakland $25 leaving 10:20 AM,535,,1,2025-05-03,Saturday,0,#ride05032025 Fremont,Oakland
,,#ride08142024 Need a ride Oakland -> Davis. Budget $12,536,,1,2024-08-14,Wednesday,0,#ride08142024 Need a ride Oakland,Davis
,,#drive10212025 from Palo Alto to Davis | 8:20 PM | $20-28 | 1 seat,537,,0,2025-10-21,Tuesday,24,Palo Alto,Davis
,,#ride05192024 from San Jose to Davis | 4:10 MP | $30 | 1 seat,538,,1,2024-05-19,Sunday,0,San Jose,Davis
,,#ride01202024 San Jose-Oakland $20 leaving 10:20 AM,539,,1,2024-01-20,Saturday,0,#ride01202024 San Jose,Oakland
,,#drive04102024 Need a drive Berkeley to Sunnyvale. Budget $12 !!,540,,0,2024-04-10,Wednesday,12,#drive04102024 Need a drive Berkeley,Sunnyvale
,,#drive04062024 from Fremont to Sunnyvale | 1PM | $25 | 1 seat,541,,0,2024-04-06,Saturday,25,Fremont,Sunnyvale
,,Need a drive from San Jose to Davis. Budget $25,542,,,,,0,San Jose,Davis
,,#drive11192024 DRIVE!! San Francisco -> Sunnyvale 1:10 PM,543,,0,2024-11-19,Tuesday,0,#drive11192024 DRIVE!! San Francisco,Sunnyvale
,,#ride50232025 RIDE!! San Francisco ➜ Palo Alto 6PM !!,544,,1,,,0,#ride50232025 RIDE!! San Francisco,Palo
,,#ride04302024 Fremont to Palo Alto | 11MA | $18 | 1 seat 😊,545,,1,2024-04-30,Tuesday,0,#ride04302024 Fremont,Palo
,,Oakland to San Francisco | 11AM | $40 | 1seat,546,,,,,0,Oakland,San Francisco
,,Oakland to San Francisco $40 leaving 7AM,547,,,,,0,Oakland,San Francisco
,,#drive02122025 San Jose-Davis $18 leaving 6:45 AM,548,,0,2025-02-12,Wednesday,18,#drive02122025 San Jose,Davis
,,"#drive07202024 DRIVE!! from San Francisco to Palo Alto 3:15 PM $22
anyone?",549,,0,2024-07-20,Saturday,22,San Francisco,Palo
,,d#rive12042024  DRIVE!!  Oakland  to  San  Jose  10:45  PM,550,,,,,0,d #rive12042024 DRIVE!! Oakland,San
,,#drive12272025 DRIVE!! Davis ➜ Sunnyvale 10:45 AM $18,551,,0,2025-12-27,Saturday,18,#drive12272025 DRIVE!! Davis,Sunnyvale
,,Fremont -> Davis | 7PM | 22 dollars | 1 seat 🚗,552,,,,,0,Fremont,Davis
,,"#ride11282025 Berkeley -> Sac | 11:20 AM |  | 1 seat
anyone?",553,,1,2025-11-28,Friday,0,#ride11282025 Berkeley,Sacramento
,,#drive10112024 Sacramento ➜ Berkeley | 9:30 PM | $12 | 1 seat,554,,0,2024-10-11,Friday,12,#drive10112024 Sacramento,Berkeley
,,#ride08082025 #ride08112025 Palo Alto ➜ Oakland | 6:30 PM | $18 | 1 seat thx,555,,1,2025-08-08,Friday,0,#ride08082025 #ride08112025 Palo Alto,Oakland
,,Need a ride from Sacramento to Sunnyvale. Budget 15 dollars,556,,,,,0,Sacramento,Sunnyvale
,,#ride10302025  RIDE!!  SF  ->  Davis  8:50  AM  35  dollars,557,,1,2025-10-30,Thursday,0,#ride10302025 RIDE!! SF,Davis
,,#drive09282025 #drive09292025 Need a drive San Francisco-Oakland. Budget 18 dollars,558,,0,2025-09-28,Sunday,18,#drive09282025 #drive09292025 Need a drive San Francisco,Oakland
,,#drive12262024 Need a drive San Jose-Palo Alto. Budget $22,559,,0,2024-12-26,Thursday,22,#drive12262024 Need a drive San Jose,Palo
,,#ride08312024 Sunnyvale ➜ Sacramento | 2PM | $22 | 1 seat,560,,1,2024-08-31,Saturday,0,#ride08312024 Sunnyvale,Sacramento
,,#ride10262024 Need a ride Oakland -> Fremont. Budget pls,561,,1,2024-10-26,Saturday,0,#ride10262024 Need a ride Oakland,Fremont
,,#drive01042025 Fremont-San Jose | 5PM | $12 | 1 seat,562,,0,2025-01-04,Saturday,12,#drive01042025 Fremont,San Jose
,,#drive10112024 #drive10122024 from Oakland to Davis $40 leaving 11AM,563,,0,2024-10-11,Friday,40,Oakland,Davis
,,#drive12022025 Need a drive Fremont ➜ Oakland. Budget 22 dollars,564,,0,2025-12-02,Tuesday,22,#drive12022025 Need a drive Fremont,Oakland
,,#ride07092024  from  Sunnyvale  to  San  Jose  |  9:15  AM  |    |  1  seat,565,,1,2024-07-09,Tuesday,0,Sunnyvale,San
,,#drive09252024  RDIVE!!  from  San  Francisco  to  Oakland  1PM  $22-27,566,,0,2024-09-25,Wednesday,24,San Francisco,Oakland
,,#drive12052025  Need  a  drive  San  Jose  to  Oakland.  Budget  25  dollars  😊,567,,0,2025-12-05,Friday,25,#drive12052025 Need a drive San Jose,Oakland
,,#ride07112024 San Jose ➜ Palo Alto | 5PM | $35-43 | 1 seat,568,,1,2024-07-11,Thursday,0,#ride07112024 San Jose,Palo
,,"#ride12292024 San Jose ➜ Sunnyvale | 10PM | $20 | 1 seat
anyone?",569,,1,2024-12-29,Sunday,0,#ride12292024 San Jose,Sunnyvale
,,"#ride09092024 Davis -> San Jose | 2:50 PM | $12 | 1 seat
comment below",570,,1,2024-09-09,Monday,0,#ride09092024 Davis,San Jose
,,#ride11202025 Oakland-Sacramento | 6:50 AM | $15 | 1 seat,571,,1,2025-11-20,Thursday,0,#ride11202025 Oakland,Sacramento
,,#ride08092024 Need a ride Davis ➜ Sunnyvale. Budget $22,572,,1,2024-08-09,Friday,0,#ride08092024 Need a ride Davis,Sunnyvale
,,#drive12282024 Sunnyvale to SJ leaving 10AM pls,573,,0,2024-12-28,Saturday,0,#drive12282024 Sunnyvale,San Jose
,,San  Jose  ➜  Oakland  |  7:00  PM  |  $10  |  1  seat  🚗,574,,,,,0,San Jose,Oakland
,,#ride10192024 RIDE!! from Sunnyvale to Sacramento 11AM $10,575,,1,2024-10-19,Saturday,0,Sunnyvale,Sacramento
,,Need  a  drive  San  Francisco  to  Palo  Alto.  Budget  $20,576,,,,,0,Need a drive San Francisco,Palo
,,#ride10212024  RIDE!!  Davis  ➜  San  Jose  2:50  PM  🚗,577,,1,2024-10-21,Monday,0,#ride10212024 RIDE!! Davis,San
,,#drive05132024 Oakland ➜ Fremont 20 dollars leaving 6AM,578,,0,2024-05-13,Monday,20,#drive05132024 Oakland,Fremont
,,#ride01292025 RIDE!! Davis-San Jose 2PM $30-38 thx,579,,1,2025-01-29,Wednesday,0,#ride01292025 RIDE!! Davis,San Jose
,,#drive02182024 #drive02212024 DRIVE!! Davis -> Palo Alto 11AM $25,580,,0,2024-02-18,Sunday,25,#drive02182024 #drive02212024 DRIVE!! Davis,Palo
,,#drive10092024  Davis-Oakland  |  7AM  |  $40-45  |  1  seat,581,,0,2024-10-09,Wednesday,42,#drive10092024 Davis,Oakland
,,#drive04212024 Need a drive from San Francisco to Berkeley. Budget $25 thx,582,,0,2024-04-21,Sunday,25,San Francisco,Berkeley
,,#ride05282025 Palo Alto -> Berkeley | 8AM | $15 | 1 seat,583,,1,2025-05-28,Wednesday,0,#ride05282025 Palo Alto,Berkeley
,,#ride02062025 SF ➜ Oakland  leaving 11:10 AM,584,,1,2025-02-06,Thursday,0,#ride02062025 SF,Oakland
,,DRIVE!! San Francisco-Berkeley 4:30 PM 18 dollars,585,,,,,0,DRIVE!! San Francisco,Berkeley
,,Davis-San Jose | 10:30 PM | $20 | 1 seat,586,,,,,0,Davis,San Jose
,,#drive02182024  San  Jose  ->  Sunnyvale  |  2:10  PM  |    |  1  seat,587,,0,2024-02-18,Sunday,0,#drive02182024 San Jose,Sunnyvale
,,#drive07182024 Berkeley to San Jose | 10:45 AM | $40 | 1 seat flexible time,588,,0,2024-07-18,Thursday,40,#drive07182024 Berkeley,San Jose
,,#ride09202024  RIDE!!  San  Francisco-Palo  Alto  6PM  $35,589,,1,2024-09-20,Friday,0,#ride09202024 RIDE!! San Francisco,Palo
,,#drive06292024 DRIVE!! Sunnyvale-SJ 6AM $15-20 !!,590,,0,2024-06-29,Saturday,18,#drive06292024 DRIVE!! Sunnyvale,San Jose
,,#drive06232024 DRIVE!! Berkeley ➜ Fremont 2:40 PM $22-32 🚗,591,,0,2024-06-23,Sunday,27,#drive06232024 DRIVE!! Berkeley,Fremont
,,#drive08122025 Fremont-Davis $30 leaving 9AM,592,,0,2025-08-12,Tuesday,30,#drive08122025 Fremont,Davis
,,#drive03292025 San Jose -> Berkeley | 9PM | 10 dollars | 1 seat,593,,0,2025-03-29,Saturday,10,#drive03292025 San Jose,Berkeley
,,#ride10132024  Sacramento  ➜  Oakland  $12  leaving  7:15  AM  😊,594,,1,2024-10-13,Sunday,0,#ride10132024 Sacramento,Oakland
,,#ride06242025 from aSn Jose to Berkeley | 3:15 PM | $20 | 1 seat 😊,595,,1,2025-06-24,Tuesday,0,aSn Jose,Berkeley
,,#drive03012024 Oakland -> Berkeley | 11:45 AM | $20 | 1 seat,596,,0,2024-03-01,Friday,20,#drive03012024 Oakland,Berkeley
,,RIDE!! from Davis to Berkeley 8:10 PM $30 !!,597,,,,,0,Davis,Berkeley
,,#drive08032024 Need a drive Oakland ➜ San Joes. Budget $10,598,,0,2024-08-03,Saturday,10,#drive08032024 Need a drive Oakland,San
,,DRIVE!! Oakland ➜ Davis 10:45 PM $20,599,,,,,0,DRIVE!! Oakland,Davis
,,#drive02282024  DRIVE!!  San  Jose  ➜  Oakland  12:40  PM  $20-25,600,,0,2024-02-28,Wednesday,22,#drive02282024 DRIVE!! San Jose,Oakland
,,#drive12242025 Need a drive SF to Sacramento. Budget 20 dollars 😊,601,,0,2025-12-24,Wednesday,20,#drive12242025 Need a drive SF,Sacramento
,,#drive03082025 from Sunnyvale to Sacramento  leaving 1:15 PM !!,602,,0,2025-03-08,Saturday,0,Sunnyvale,Sacramento
,,#ride04242025 from Berkeley to Sacramento | 7PM | $12 | 1 seat,603,,1,2025-04-24,Thursday,0,Berkeley,Sacramento
,,#ride11222024 Need a ride San Francisco-Berkeley. Budget $10,604,,1,2024-11-22,Friday,0,#ride11222024 Need a ride San Francisco,Berkeley
,,#ride05122025 eNed a ride Davis-Sunnyvale. Budget $15-25,605,,1,2025-05-12,Monday,0,#ride05122025 eNed a ride Davis,Sunnyvale
,,#drive10032024 Need a drive Sacramento -> Sunnyvale. Budget $18,606,,0,2024-10-03,Thursday,18,#drive10032024 Need a drive Sacramento,Sunnyvale
,,#drive12072025 DRIVE!! San Jose -> Oakland 10PM $22-32,607,,0,2025-12-07,Sunday,27,#drive12072025 DRIVE!! San Jose,Oakland
,,#drive04292024 DRIVE!! Sacramento ➜ Fremont 6PM 18 dollars,608,,0,2024-04-29,Monday,18,#drive04292024 DRIVE!! Sacramento,Fremont
,,#drive09142024 DRIVE!! Davis -> Oakland 6:40 PM,609,,0,2024-09-14,Saturday,0,#drive09142024 DRIVE!! Davis,Oakland
,,#drive12162024 #drive12192024 Davis ➜ San Jose $40 leaving 10AM,610,,0,2024-12-16,Monday,40,#drive12162024 #drive12192024 Davis,San Jose
,,#drive03282024 Davis ➜ San Jose | 9:20 PM | $30 | 1 seat,611,,0,2024-03-28,Thursday,30,#drive03282024 Davis,San Jose
